Nr;Kategorie;Frage;Antwort A;Antwort B;Antwort C;Antwort D;Loesung;Paragraf;Begruendung
281;Stahl;Was bedeutet "Mitbestimmungserstreckung"?;Mehr Urlaub;Ausdehnung der Montan-Mitbestimmung;Lohnkürzung;Streik;B;MontanMitbestGErgG;Regelt, wie die paritätische Mitbestimmung in Konzernen erhalten bleibt, auch wenn sich die Firmenstruktur ändert.
282;Kuendigung;Darf der BR einer Kündigung widersprechen, wenn der MA umgeschult werden könnte?;Ja;Nein;Nur bei Azubis;Nur im Sommer;A;§ 102 Abs. 3 Nr. 4 BetrVG;Ein Widerspruchsgrund ist, wenn der MA an einem anderen Arbeitsplatz oder durch Umschulung weiterbeschäftigt werden kann.
283;Rechte;Darf der BR "Schwarze Bretter" nutzen?;Nein;Ja (Sachmittelanspruch);Nur für Musik;Nur nachts;B;§ 40 Abs. 2 BetrVG;Der AG hat dem BR Flächen für Bekanntmachungen (analog oder digital) zur Verfügung zu stellen.
284;Arbeitsschutz;Was ist eine "Sicherheitsunterweisung"?;Ein Test;Jährliche Belehrung über Gefahren;Ein Fest;Ein Kündigungsgrund;B;§ 12 ArbSchG;Der AG muss die MA über Sicherheit und Gesundheitsschutz bei der Arbeit ausreichend und angemessen unterweisen.
285;Personal;Darf der AG eine "interne Ausschreibung" verweigern?;Ja;Nein (wenn BR es verlangt);Nur bei Chefs;Nur bei Azubis;B;§ 93 BetrVG;Verlangt der BR die interne Ausschreibung, muss der AG dieser Forderung nachkommen, bevor er extern sucht.
286;IT-Datenschutz;Darf der AG "Office 365" ohne BV nutzen?;Ja;Nein (Datenschutzrisiken);Nur bei Apple;Nur bei Azubis;B;§ 87 / DSGVO;Aufgrund der Telemetriedaten und Überwachungsmöglichkeiten ist eine BV zwingend erforderlich.
287;Gehalt;Was ist eine "Entgeltgruppe"?;Ein Sportverein;Lohnstufe im Tarifvertrag;Ein Kündigungsgrund;Ein Abzug;B;Tarifrecht;Die Zuordnung zu einer Gruppe richtet sich nach der Tätigkeit und Qualifikation (Eingruppierung).
288;Bildung;Darf der BR Schulungen zum "Arbeitsrecht" besuchen?;Nein;Ja (Grundlagenwissen);Nur bei Streik;Nur privat;B;§ 37 Abs. 6 BetrVG;Grundkenntnisse im Arbeitsrecht sind für die tägliche BR-Arbeit unerlässlich und daher erforderlich.
289;Allgemein;Was ist ein "Beschluss"?;Ein Wunsch;Verbindliche Entscheidung des BR-Gremiums;Ein Gesetz;Ein Kündigungsgrund;B;§ 33 BetrVG;Nur durch einen ordnungsgemäßen Beschluss (Mehrheit der Stimmen) wird der Wille des Betriebsrats gültig.
290;Arbeitszeit;Darf der BR "Zeiterfassung per Fingerabdruck" ablehnen?;Nein;Ja (Persönlichkeitsrecht);Nur im Büro;Nur nachts;B;§ 87 / DSGVO;Biometrische Systeme sind ein schwerer Eingriff; der BR kann und sollte hier auf Alternativen bestehen.
291;Stahl;Was ist die "Stahl-Arbeitszeit"?;40 Stunden;35 Stunden (Tarif);42 Stunden;30 Stunden;B;TV Eisen-Stahl;In der Stahlindustrie gilt in der Regel die 35-Stunden-Woche als tariflicher Standard.
292;Kuendigung;Was ist ein "Aufhebungsvertrag"?;Eine Kündigung;Einvernehmliche Beendigung;Ein Lob;Ein Darlehen;B;BGB / Arbeitsrecht;AG und MA einigen sich gemeinsam auf das Ende des Vertrags. Achtung: Sperrzeit beim Arbeitsamt möglich!
293;Rechte;Darf der BR an "Aufsichtsratssitzungen" teilnehmen?;Nein;Ja (wenn gewählt/entsandt);Nur als Gast;Nur nachts;B;MitbestG;AN-Vertreter im Aufsichtsrat haben die gleichen Rechte und Pflichten wie die Vertreter der Kapitalseite.
294;Arbeitsschutz;Darf der BR "Hitzefrei" erzwingen?;Nein;Ja (über Gefährdungsbeurteilung);Nur im Sommer;Nur im Büro;B;§ 87 Abs. 1 Nr. 7 BetrVG;Bei extremer Hitze kann der BR über die Mitbestimmung Schutzmaßnahmen (Pausen, Getränke, Abbruch) fordern.
295;Personal;Darf der AG einen MA "versetzen", um ihn zu ärgern?;Ja;Nein (Maßregelungsverbot/Schikane);Nur bei Diebstahl;Nur bei Stahl;B;§ 612a BGB / § 226 BGB;Willkürliche Versetzungen zum Zweck der Bestrafung sind rechtlich unzulässig.
296;IT-Datenschutz;Was ist ein "Datenschutzbeauftragter"?;Der Chef;Überwachungsinstanz für Daten;Ein Azubi;Ein Polizist;B;DSGVO;Er berät das Unternehmen und den BR bei der Einhaltung der Datenschutzvorschriften.
297;Gehalt;Was ist eine "Zulagen-Kürzung"?;Ein Bonus;Reduzierung von freiwilligen Zahlungen;Eine Beförderung;Ein Darlehen;B;§ 87 / Arbeitsrecht;Die Kürzung von Zulagen ist oft an Bedingungen geknüpft und bedarf bei Kollektivbezug der Mitbestimmung.
298;Bildung;Muss der BR-Ersatzmann geschult werden?;Nein;Ja (wenn er häufig nachrückt);Nur bei Streik;Nur privat;B;§ 37 Abs. 6 BetrVG;Ersatzmitglieder haben Anspruch, wenn sie regelmäßig über einen längeren Zeitraum BR-Aufgaben übernehmen.
299;Allgemein;Was ist ein "Protokoll"?;Ein Gesetz;Niederschrift der BR-Sitzung;Ein Kündigungsgrund;Ein Brief;B;§ 34 BetrVG;Über jede Verhandlung des Betriebsrats ist eine Niederschrift anzufertigen, die vom Vorsitzenden und einem Mitglied unterschrieben wird.
300;Wahl;Wer ist "wahlberechtigt"?;Alle über 16 Jahre;Alle AN über 16 Jahre;Nur Deutsche;Nur Festangestellte;B;§ 7 BetrVG;Wahlberechtigt sind alle Arbeitnehmer des Betriebs, die das 16. Lebensjahr vollendet haben.
301;Wahl;Wer ist "wählbar" (passives Wahlrecht)?;Jeder;Alle Wahlberechtigten (6 Monate im Betrieb);Nur Chefs;Nur Gewerkschafter;B;§ 8 BetrVG;Wählbar sind alle Wahlberechtigten, die dem Betrieb sechs Monate angehören.
302;Jugend;Wie viele JAV-Mitglieder bei 21-50 Azubis?;1;3;5;7;B;§ 62 BetrVG;Die Anzahl der JAV-Mitglieder ist nach der Anzahl der im Betrieb beschäftigten Jugendlichen und Azubis gestaffelt.
303;Kuendigung;Was ist ein "Kündigungsschutzprozess"?;Ein Fest;Klage vor dem Arbeitsgericht;Eine Mahnung;Ein Zeugnis;B;§ 4 KSchG;Der Arbeitnehmer wehrt sich gerichtlich gegen eine Kündigung, um die Unwirksamkeit feststellen zu lassen.
304;Rechte;Darf der BR-Vorsitzende den AG eigenmächtig verklagen?;Ja;Nein (BR-Beschluss zwingend);Nur bei Eile;Nur bei Geld;B;§ 33 BetrVG;Ohne einen wirksamen Beschluss des Gremiums darf der Vorsitzende keine gerichtlichen Schritte im Namen des BR einleiten.
305;Arbeitsschutz;Was ist eine "Sicherheitsbegehung"?;Ein Spaziergang;Vor-Ort-Prüfung der Sicherheit;Ein Streik;Eine Pause;B;§ 89 BetrVG;Der BR hat das Recht und die Pflicht, an Besichtigungen durch die Aufsichtsbehörden teilzunehmen.
306;Gehalt;Darf der BR "Prämiensätze" mitbestimmen?;Nein;Ja (Akkord/Prämien);Nur bei Stahl;Nur bei Nacht;B;§ 87 Abs. 1 Nr. 11 BetrVG;Die Festsetzung von Akkord- und Prämiensätzen sowie vergleichbaren leistungsbezogenen Entgelten ist mitbestimmungspflichtig.
307;Personal;Muss der BR bei "Leiharbeit" zustimmen?;Nein;Ja (Einstellung von Leiharbeitern);Nur bei 100 MA;Nur im Sommer;B;§ 99 BetrVG / AÜG;Die Beschäftigung von Leiharbeitnehmern gilt als Einstellung und bedarf der Zustimmung des Betriebsrats.
308;IT-Datenschutz;Was ist ein "E-Mail-Verbot"?;Verbot von Internet;Verbot privater E-Mails am Platz;Ein Kündigungsgrund;Ein Streik;B;IT-BV / § 87;Der Arbeitgeber kann die private Nutzung der betrieblichen IT untersagen; die Kontrolle unterliegt dem BR.
309;Allgemein;Was ist eine "Schlichtung"?;Ein Streit;Verfahren zur Beilegung von Konflikten;Eine Kündigung;Ein Urlaubsantrag;B;§ 76 BetrVG;Die Einigungsstelle ist das zentrale Schlichtungsorgan zwischen Arbeitgeber und Betriebsrat.
310;Kuendigung;Darf der BR einer Kündigung "Bedenken" äußern?;Nein;Ja (schwächere Form des Widerspruchs);Nur bei Azubis;Nur im Winter;B;§ 102 Abs. 2 BetrVG;Der BR kann Bedenken äußern, auch wenn kein gesetzlicher Widerspruchsgrund vorliegt.
311;Arbeitszeit;Darf der BR "Arbeitszeitkonten" fordern?;Nein;Ja (Initiativrecht);Nur im Büro;Nur für Rentner;B;§ 87 Abs. 1 Nr. 2 BetrVG;Der BR kann die Einführung von Zeitkonten verlangen, um die Arbeitszeit flexibler zu gestalten.
312;Stahl;Was regelt der "Montan-Aufsichtsrat"?;Die Kantine;Wirtschaftliche Grundsatzentscheidungen;Nur Urlaub;Den Fuhrpark;B;MontanMitbestG;Er entscheidet über Großinvestitionen, Fusionen und die Bestellung des Vorstands.
313;Rechte;Darf der BR "Sachverständige für KI" laden?;Nein;Ja (bei Einführung von KI);Nur bei Google;Nur privat;B;§ 80 Abs. 3 BetrVG;Bei der Einführung von Künstlicher Intelligenz hat der BR oft Anspruch auf externe Fachberatung.
314;Urlaub;Kann man Urlaub in das "nächste Jahr" mitnehmen?;Immer;Nur bei dringenden Gründen (bis 31.3.);Nie;Nur bei Kündigung;B;§ 7 Abs. 3 BUrlG;Eine Übertragung ist nur statthaft, wenn betriebliche oder persönliche Gründe (Krankheit) vorliegen.
315;Gleichstellung;Was ist "Entgelttransparenz"?;Lohnzettel zeigen;Recht zu erfahren, was andere verdienen;Ein Gesetz;Ein Abzug;B;EntgTranspG;In Betrieben ab 200 MA haben Beschäftigte einen Auskunftsanspruch über das Gehalt vergleichbarer Kollegen.
316;IT-Datenschutz;Darf der AG "Logfiles" zur Kontrolle nutzen?;Ja;Nein (Zweckbindung beachten);Nur bei Diebstahl;Nur bei Stahl;B;DSGVO / § 87;Systemdaten dürfen in der Regel nur zur Fehlersuche, nicht zur heimlichen Leistungskontrolle genutzt werden.
317;Personal;Was ist eine "Probezeit"?;Zeit zum Feiern;Zeitraum mit verkürzter Kündigungsfrist;Ein Urlaub;Ein Kündigungsgrund;B;§ 622 Abs. 3 BGB;Während einer vereinbarten Probezeit (max. 6 Monate) kann mit einer Frist von zwei Wochen gekündigt werden.
318;Allgemein;Darf der BR während der "Arbeitszeit" tagen?;Nein;Ja (Grundsatz des Gesetzes);Nur nachts;Nur bei Streik;B;§ 30 BetrVG;BR-Sitzungen finden während der Arbeitszeit statt; der AG muss die Zeit wie Arbeitszeit bezahlen.
319;Versetzung;Muss der BR bei der "Zuweisung eines anderen Büros" zustimmen?;Nein (meist keine Versetzung);Ja;Nur bei Stahl;Nur bei Chefs;A;§ 95 Abs. 3 BetrVG;Ein bloßer Zimmerwechsel innerhalb einer Abteilung ohne Änderung der Aufgabe ist meist keine Versetzung.
320;Kuendigung;Darf der AG "wegen Diebstahl" sofort kündigen?;Nein;Ja (fristlos bei wichtigem Grund);Nur bei Azubis;Nur im Sommer;B;§ 626 BGB;Eine außerordentliche Kündigung ist möglich, wenn dem AG die Fortsetzung des Verhältnisses unzumutbar ist.
321;Arbeitszeit;Darf der BR "Sonn- und Feiertagsarbeit" ablehnen?;Nein;Ja (Mitbestimmungsrecht);Nur bei Hitze;Nur nachts;B;§ 87 Abs. 1 Nr. 3 BetrVG;Der BR entscheidet mit, ob und in welchem Umfang an Sonn- und Feiertagen gearbeitet werden darf.
322;Stahl;Was bedeutet "Neutrales Mitglied"?;Ein Schiedsrichter;Das 11./21. Mitglied im Aufsichtsrat;Der Pförtner;Der Werksleiter;B;§ 8 MontanMitbestG;Das neutrale Mitglied soll bei Stimmengleichheit zwischen Kapital und Arbeit im Aufsichtsrat vermitteln.
323;Rechte;Darf der BR-Vorsitzende allein eine BV unterschreiben?;Ja (wenn Beschluss vorliegt);Nein;Nur im Notfall;Nur bei Geld;A;§ 77 Abs. 2 BetrVG;Der Vorsitzende unterschreibt die BV für den Betriebsrat, benötigt aber vorher die Zustimmung des Gremiums per Beschluss.
324;Arbeitsschutz;Muss der BR bei der "Lärmminderung" mitreden?;Nein;Ja (Gesundheitsschutz);Nur bei 100 dB;Nur nachts;B;§ 87 Abs. 1 Nr. 7 BetrVG;Maßnahmen zur Reduzierung von Lärmbelastung am Arbeitsplatz unterliegen der Mitbestimmung.
325;Gehalt;Was ist eine "Leistungszulage"?;Normaler Lohn;Zahlung für besondere Leistung;Eine Strafe;Ein Kredit;B;§ 87 Abs. 1 Nr. 11 BetrVG;Die Kriterien für die Gewährung von Leistungszulagen müssen mit dem BR vereinbart werden.
326;Bildung;Darf der BR Schulungen zur "Öffentlichkeitsarbeit" besuchen?;Nein;Ja (bedingt, zur Information der Belegschaft);Nur der Vorsitz;Nur privat;B;§ 37 Abs. 6 BetrVG;Wenn es um die Information der Belegschaft (z.B. Erstellung von BR-Zeitschriften) geht, kann dies erforderlich sein.
327;Allgemein;Was ist ein "Wahlvorstand"?;Der Chef;Organ zur Durchführung der BR-Wahl;Der BR-Vorsitzende;Die Gewerkschaft;B;§ 18 BetrVG;Der Wahlvorstand bereitet die Wahl vor, erstellt die Wählerliste und leitet die Stimmauszählung.
328;IT-Datenschutz;Was ist eine "Betriebliche Datenschutz-BV"?;Ein Wunschzettel;Vereinbarung zum Schutz der MA-Daten;Ein Gesetz;Ein Kündigungsgrund;B;§ 87 / DSGVO;In dieser BV wird geregelt, welche Daten der AG erheben darf und wie er diese schützen muss.
329;Jugend;Darf die JAV an jeder BR-Sitzung teilnehmen?;Nein;Ja (über einen Vertreter);Nur bei Streik;Nur nachts;B;§ 67 BetrVG;Die JAV kann einen Vertreter zu jeder Betriebsratsunterredung entsenden.
330;Arbeitszeit;Darf der AG "Überstunden" mit Pizza bezahlen?;Ja;Nein (Lohn- oder Freizeitausgleich);Nur bei Stahl;Nur am Freitag;B;Arbeitsrecht;Überstunden müssen entsprechend dem Vertrag oder Tarif vergütet oder ausgeglichen werden.
331;Stahl;Darf der BR die "Schutzkleidung-Marke" mitbestimmen?;Nein;Ja (Tragekomfort/Akzeptanz);Nur bei Gelb;Nur nachts;B;§ 87 Abs. 1 Nr. 7 BetrVG;Bei der Auswahl der PSA hat der BR ein Mitbestimmungsrecht, insbesondere wenn es um die Gesundheit geht.
332;Abmahnung;Kann man eine Abmahnung aus der "Personalakte" entfernen lassen?;Nein;Ja (bei Unrichtigkeit oder nach Zeit);Nur bei Kündigung;Nur bei Stahl;B;§ 83 BetrVG / BGB;Ist die Abmahnung unberechtigt, hat der MA einen Anspruch auf Entfernung aus der Akte.
333;Urlaub;Was ist "Erholungsbeihilfe"?;Normaler Lohn;Zuschuss des AG zum Urlaub (freiwillig);Ein Kredit;Ein Abzug;B;Arbeitsrecht;Eine freiwillige Zahlung des Arbeitgebers zur Unterstützung des Erholungsurlaubs.
334;Betriebsvereinbarung;Kann eine BV "unbefristet" sein?;Ja (bis zur Kündigung);Nein;Nur für 1 Jahr;Nur bei Stahl;A;§ 77 BetrVG;BVs gelten in der Regel so lange, bis sie von einer Seite gekündigt oder durch eine neue BV ersetzt werden.
335;Personal;Darf der BR die "Eingruppierung" ablehnen?;Nein;Ja (bei Verstoß gegen Tarifvertrag);Nur bei Azubis;Nur nachts;B;§ 99 Abs. 2 Nr. 1 BetrVG;Der BR kann die Zustimmung verweigern, wenn die Eingruppierung gegen Bestimmungen des Tarifvertrags verstößt.
336;Arbeitsschutz;Muss der BR bei "Kameraüberwachung" am Hochofen zustimmen?;Nein;Ja (Verhaltenskontrolle möglich);Nur bei Diebstahl;Nur im Sommer;B;§ 87 Abs. 1 Nr. 6 BetrVG;Auch Sicherheitskameras können zur Überwachung genutzt werden und sind daher mitbestimmungspflichtig.
337;Kuendigung;Was ist eine "Sperrfrist"?;Zeit bis zur Rente;Zeitraum beim Arbeitsamt nach Eigenkündigung;Eine Pause;Ein Abzug;B;SGB III;Wer ohne wichtigen Grund selbst kündigt, erhält in der Regel 12 Wochen kein Arbeitslosengeld.
338;Arbeitszeit;Darf der BR "kurze Pausen" (5 Min.) fordern?;Nein;Ja (über Mitbestimmung);Nur im Büro;Nur nachts;B;§ 87 Abs. 1 Nr. 2 BetrVG;Der BR kann zusätzliche Kurzpausen fordern, z.B. bei belastender Fließbandarbeit oder Hitze.
339;Stahl;Was ist ein "Konzern-Arbeitsdirektor"?;Der Chef;Personalvorstand für den ganzen Konzern;Ein Azubi;Ein Polizist;B;MontanMitbestGErgG;Sorgt für einheitliche Personalstandards in einem großen Montan-Konzern.
340;Allgemein;Wer darf die "Wählerliste" einsehen?;Nur der Chef;Alle Arbeitnehmer des Betriebs;Nur der BR;Nur die Gewerkschaft;B;§ 2 WO;Die Wählerliste muss zur Einsichtnahme ausgelegt werden, damit Fehler korrigiert werden können.
341;IT-Datenschutz;Darf der AG "GPS-Tracker" in Dienstwagen einbauen?;Ja;Nein (nur bei Zweckbindung/BR);Nur bei Diebstahl;Nur nachts;B;§ 87 / DSGVO;GPS-Tracking zur Leistungskontrolle ist verboten; zur Logistik nur mit BR-Zustimmung erlaubt.
342;Freistellung;Was ist ein "Freistellungsanspruch"?;Recht auf Urlaub;Recht des BR auf Befreiung von Arbeit;Lohn;Pause;B;§ 38 BetrVG;Der Gesetzgeber legt fest, wie viele BR-Mitglieder je nach Betriebsgröße komplett freigestellt werden müssen.
343;Versetzung;Muss der BR bei der "Abordnung" zu einer Schulung zustimmen?;Nein;Ja (wenn > 1 Monat);Nur bei Stahl;Nur bei Chefs;B;§ 95 Abs. 3 BetrVG;Dauert eine Zuweisung eines anderen Arbeitsbereichs länger als einen Monat, ist es eine Versetzung.
344;Geheimhaltung;Darf der BR "Betriebsgeheimnisse" dem Ehepartner sagen?;Ja;Nein (Verschwiegenheitspflicht);Nur bei Stress;Nur nachts;B;§ 79 BetrVG;Die Schweigepflicht gilt gegenüber jedermann, der nicht zur Geheimhaltung verpflichtet ist.
345;Betriebsvereinbarung;Was ist eine "Regelungsabrede"?;Ein Gesetz;Lose Vereinbarung (formfrei) zw. AG und BR;Ein Kündigungsgrund;Ein Abzug;B;Arbeitsrecht;Eine Absprache, die nicht die unmittelbare Wirkung einer BV hat, aber das Handeln von AG und BR bindet.
346;Arbeitsschutz;Muss der BR bei der "Brandschutzordnung" mitreden?;Nein;Ja (Unfallverhütung);Nur bei Feuer;Nur nachts;B;§ 87 Abs. 1 Nr. 7 BetrVG;Regeln zum Verhalten im Brandfall betreffen die Sicherheit und sind mitbestimmungspflichtig.
347;Kuendigung;Darf der AG "wegen politischer Meinung" kündigen?;Ja;Nein (Maßregelungsverbot/GG);Nur bei Diebstahl;Nur bei Azubis;B;AGG / GG;Niemand darf wegen seiner politischen Anschauung benachteiligt oder gekündigt werden (solange die Arbeit nicht gestört wird).
348;Urlaub;Darf der BR "Urlaubsgeld" für alle fordern?;Nein (nur Verteilung);Ja (immer);Nur bei Stahl;Nur bei Azubis;A;§ 87 Abs. 1 Nr. 10 BetrVG;Der BR kann die Zahlung selbst meist nicht erzwingen, aber bei den Verteilungsgrundsätzen mitreden.
349;Arbeitszeit;Darf der AG "Überstunden" einseitig streichen?;Ja;Nein (Mitbestimmung/Vertrag);Nur bei Stahl;Nur nachts;B;§ 87 / Arbeitsrecht;Einmal angeordnete und genehmigte Überstunden können nicht willkürlich wieder weggenommen werden.
350;Urlaub;Gibt es Sonderurlaub bei der eigenen Hochzeit?;Nein;Ja (bezahlte Freistellung);Nur am Wochenende;Nur unbezahlt;B;§ 616 BGB;Bei wichtigen persönlichen Ereignissen wie der eigenen Hochzeit besteht Anspruch auf bezahlte Freistellung.
351;Urlaub;Bekommt man bei einem Todesfall in der Familie frei?;Nein;Ja (Sonderurlaub);Nur bei Erbe;Nur unbezahlt;B;§ 616 BGB;Der Tod naher Angehöriger gilt als unverschuldete Verhinderung, die zur bezahlten Freistellung berechtigt.
352;Eltern;Was ist "Elternzeit"?;Urlaub für alle;Freistellung zur Kinderbetreuung;Kündigung;Ein Bonus;B;BEEG;Eltern haben Anspruch auf unbezahlte Freistellung von der Arbeit bis zur Vollendung des dritten Lebensjahres des Kindes.
353;Eltern;Darf man in der Elternzeit in Teilzeit arbeiten?;Nein;Ja (unter bestimmten Bedingungen);Nur bei Stahl;Nur nachts;B;§ 15 BEEG;Während der Elternzeit ist eine Teilzeitbeschäftigung von bis zu 32 Wochenstunden beim selben AG möglich.
354;Pflege;Was ist die "kurzzeitige Arbeitsverhinderung"?;Urlaub;Bis zu 10 Tage für Akutpflege;Krankmeldung;Pause;B;§ 2 PflegeZG;MA haben das Recht, bis zu 10 Arbeitstage fernzubleiben, um eine pflegerische Notfallsituation eines Angehörigen zu regeln.
355;Pflege;Was ist "Pflegeunterstützungsgeld"?;Lohn;Ersatzleistung der Pflegekasse;Ein Kredit;Ein Abzug;B;§ 44a SGB XI;Lohnersatzleistung während der kurzzeitigen Arbeitsverhinderung (bis zu 10 Tage).
356;Rente;Was ist die "betriebliche Altersvorsorge" (bAV)?;Gesetzliche Rente;Zusatzrente über den AG;Ein Sparbuch;Eine Kündigung;B;BetrAVG;Der AG sagt dem MA Leistungen der Alters-, Invaliditäts- oder Hinterbliebenenversorgung zu.
357;Rente;Muss der AG einen Teil des Gehalts für bAV umwandeln?;Nein;Ja (Anspruch auf Entgeltumwandlung);Nur bei Stahl;Nur bei Chefs;B;§ 1a BetrAVG;Jeder MA kann verlangen, dass Teile seiner künftigen Entgeltansprüche für die Altersvorsorge verwendet werden.
358;Rente;Gibt der AG einen Zuschuss zur Entgeltumwandlung?;Nein;Ja (meist 15% bei Ersparnis);Nur bei Stahl;Nur bei Azubis;B;§ 1a Abs. 1a BetrAVG;Der AG muss 15 % des umgewandelten Betrags als Zuschuss zahlen, wenn er dadurch Sozialversicherungsbeiträge spart.
359;Allgemein;Was ist eine "Massenentlassungsanzeige"?;Eine E-Mail;Meldung an die Agentur für Arbeit;Ein Fest;Ein Plakat;B;§ 17 KSchG;Ab einer bestimmten Anzahl von Entlassungen innerhalb von 30 Tagen muss der AG dies der Behörde melden.
360;Wahl;Darf man "per Brief" den BR wählen?;Nein;Ja (Briefwahl auf Antrag/Anordnung);Nur bei Stahl;Nur nachts;B;§ 24 WO;Wer am Wahltag verhindert ist, kann seine Stimme per Briefwahl abgeben.
361;Stahl;Was regelt der "Tarifvertrag Altersvorsorge Stahl"?;Pausen;Spezielle bAV-Leistungen für Hüttenwerker;Urlaub;Helmfarbe;B;TV Altersvorsorge;Spezifische tarifliche Regelungen für die Zusatzvorsorge in der Eisen- und Stahlindustrie.
362;Arbeitszeit;Darf der BR "Rauchverbote" im Werk mitbestimmen?;Nein;Ja (Gesundheitsschutz/Ordnung);Nur bei Feuer;Nur nachts;B;§ 87 Abs. 1 Nr. 1 BetrVG;Rauchverbote betreffen das Ordnungsverhalten im Betrieb und unterliegen der Mitbestimmung.
363;Kuendigung;Darf der AG "wegen Facebook-Beleidigung" kündigen?;Nein;Ja (je nach Schwere/Geschäftsschädigung);Nur bei Azubis;Nur im Sommer;B;Arbeitsrecht;Grobe Beleidigungen des AG oder von Kollegen in sozialen Netzwerken können eine Kündigung rechtfertigen.
364;Rechte;Darf der BR "externe Berater" zur Betriebsversammlung laden?;Nein;Ja (z.B. Gewerkschaftsvertreter);Nur bei Streik;Nur nachts;B;§ 46 BetrVG;Beauftragte der im Betrieb vertretenen Gewerkschaften können beratend an der Betriebsversammlung teilnehmen.
365;Arbeitsschutz;Was ist eine "Sicherheitsfachkraft"?;Ein Türsteher;Berater für Arbeitssicherheit;Ein Polizist;Der BR-Chef;B;§ 5 ASiG;Der AG hat Fachkräfte für Arbeitssicherheit zu bestellen (SiFa).
366;Bildung;Darf der BR "PC-Grundkurse" besuchen?;Nein;Ja (wenn für BR-Arbeit nötig);Nur der Vorsitz;Nur privat;B;§ 37 Abs. 6 BetrVG;Wenn das BR-Mitglied den PC für die BR-Tätigkeit braucht, ist eine Basisschulung erforderlich.
367;Wirtschaft;Was ist eine "Verschmelzung"?;Ein Fest;Zusammenführung zweier Firmen;Eine Kündigung;Ein Abzug;B;UmwG / § 111 BetrVG;Rechtlicher Vorgang, bei dem Firmen fusionieren. Dies ist eine Betriebsänderung mit BR-Beteiligung.
368;Personal;Was ist ein "Qualifizierungsgespräch"?;Ein Test;Gespräch über Fortbildung/Zukunft;Ein Kündigungsgrund;Ein Abzug;B;§ 92a / § 96 BetrVG;Der BR kann Vorschläge zur Sicherung und Förderung der Beschäftigung durch Qualifizierung machen.
369;IT-Datenschutz;Darf der AG "Private Telefonate" am Diensthandy verbieten?;Ja;Nein;Nur im Sommer;Nur bei Azubis;A;Arbeitsrecht;Der AG stellt das Handy für Dienstzwecke zur Verfügung; er kann die Privatnutzung regeln oder untersagen.
370;Allgemein;Was ist ein "Interessenausgleich mit Namensliste"?;Ein Fest;Liste der zu kündigenden Personen;Ein Urlaubsantrag;Ein Abzug;B;§ 1 Abs. 5 KSchG;Wird eine Namensliste vereinbart, wird die gerichtliche Überprüfung der Sozialauswahl für den MA schwieriger.
371;Arbeitszeit;Darf der BR "Überstunden für Schwangere" verhindern?;Nein;Ja (Gesetzliches Verbot);Nur bei Stahl;Nur nachts;B;§ 4 MuSchG;Werdende und stillende Mütter dürfen keine Mehrarbeit (über 8,5 Std. täglich) leisten.
372;Stahl;Was ist die "Stahlarbeitszeit-Verkürzung"?;Urlaub;Tarifliche Reduzierung der Wochenstunden;Ein Streik;Ein Abzug;B;TV Eisen-Stahl;Historisch erkämpfte Reduzierung der Arbeitszeit zur Beschäftigungssicherung (35h-Woche).
373;Kuendigung;Darf der BR einer Kündigung wegen "mangelnder Qualifikation" widersprechen?;Ja;Nein;Nur bei Azubis;Nur im Sommer;A;§ 102 Abs. 3 Nr. 4 BetrVG;Widerspruch ist möglich, wenn der MA durch Umschulung weiterbeschäftigt werden könnte.
374;Rechte;Darf der BR "Büromaterial" (Drucker/Papier) verlangen?;Nein;Ja (Sachaufwand);Nur bei Streik;Nur nachts;B;§ 40 Abs. 2 BetrVG;Der AG muss dem BR die für die laufende Geschäftsführung erforderlichen Sachmittel bereitstellen.
375;Arbeitsschutz;Muss der BR bei der "Hitzeschutzkleidung" mitreden?;Nein;Ja (Sicherheit und Trageakzeptanz);Nur bei Feuer;Nur im Sommer;B;§ 87 Abs. 1 Nr. 7 BetrVG;Bei der Auswahl spezieller Schutzausrüstung am Hochofen hat der BR mitzubestimmen.
376;Personal;Darf der AG "Alkoholtests" ohne Grund durchführen?;Ja;Nein (Persönlichkeitsrecht);Nur bei Stahl;Nur bei Azubis;B;Arbeitsrecht;Anlasslose Kontrollen sind unzulässig; bei konkretem Verdacht (Gefahr im Verzug) sieht es anders aus.
377;Gehalt;Was ist eine "Ausschlussfrist im Tarifvertrag"?;Zeit bis zur Rente;Frist zum Einklagen von Geld;Eine Pause;Ein Abzug;B;Tarifrecht;Meist kurze Fristen (z.B. 3 Monate), nach denen Ansprüche auf Lohn oder Zuschläge verfallen.
378;Versetzung;Darf der BR eine Versetzung "vorläufig" stoppen?;Nein;Ja (im Eilverfahren);Nur bei Stahl;Nur im Sommer;B;§ 100 BetrVG;Der AG kann eine Maßnahme vorläufig durchführen, der BR kann dies jedoch gerichtlich überprüfen lassen.
379;Allgemein;Was ist ein "Betriebsausschuss"?;Ein Fest;Gremium zur Erledigung laufender Geschäfte;Eine Kündigung;Ein Abzug;B;§ 27 BetrVG;Ab 9 BR-Mitgliedern muss ein Betriebsausschuss gebildet werden.
